Name,Poly
Acanthis flammea,"POLYGON((5.0622 51.5092,5.7924 51.9732,5.6966 52.0398,5.0622 51.5092))"
Acanthis flammea,"POLYGON((23.7012 65.7453,19.3218 67.8856,13.6106 63.7914,12.849 57.5774,13.3017 57.6091,16.3854 59.0481,23.7012 65.7453))"
Anas acuta,"POLYGON((14.3549 61.6254,12.6225 56.7172,14.2275 56.5336,16.8601 56.7668,16.7926 59.6977,15.6498 60.8995,14.3549 61.6254))"
Anas acuta,"POLYGON((-6.956 37.1275,-7.5281 37.1858,-7.1884 37.131,-6.956 37.1275))"
Anas crecca,"POLYGON((-7.1277 37.8892,-8.5703 38.2761,-7.3893 37.6035,-7.1277 37.8892))"
Anas crecca,"POLYGON((2.7893 40.4639,1.9151 41.5721,2.765 40.2526,2.7893 40.4639))"
Asio flammeus,"POLYGON((5.5391 53.1138,4.8352 52.8426,5.243 52.2368,5.5302 51.9552,5.5585 52.4309,5.5391 53.1138))"
Asio flammeus,"POLYGON((20.4537 65.5983,19.791 68.2362,19.9335 66.5237,20.4537 65.5983))"
Aythya collaris,"POLYGON((4.1221 51.8939,4.1518 51.8213,5.2403 52.0023,6.85 53.3,5.5359 52.8492,4.1221 51.8939))"
Aythya collaris,"POLYGON((12.3765 58.2778,12.8286 56.0993,16.9683 58.636,15.0397 58.5765,14.9987 58.5751,12.3765 58.2778))"
Calidris alba,"POLYGON((25.9445 -33.7818,25.1546 -33.9946,25.6708 -33.8654,25.9445 -33.7818))"
Calidris alba,"POLYGON((16.4784 56.2426,15.2697 56.7994,15.0642 56.7665,13.548 56.4366,16.0331 56.2279,16.4251 56.2087,16.4495 56.2239,16.4784 56.2426))"
Calidris ferruginea,"POLYGON((25.4482 -33.8176,24.444 -34.0656,25.0304 -33.9397,25.4482 -33.8176))"
Calidris ferruginea,"POLYGON((15.486 57.3391,12.5217 56.5146,16.4046 56.2053,16.5666 56.4859,15.486 57.3391))"
Calidris minuta,"POLYGON((25.369 -33.7709,25.8285 -33.7472,25.7714 -33.6365,25.4145 -33.7008,25.369 -33.7709))"
Calidris minuta,"POLYGON((15.0593 56.8822,15.9297 56.8543,15.2922 57.7678,15.0593 56.8822))"
Charadrius hiaticula,"POLYGON((31.5946 -29.1171,32.0829 -28.5746,31.8764 -28.3746,28.3216 -25.8556,28.482 -26.2578,31.5946 -29.1171))"
Charadrius hiaticula,"POLYGON((1.8673 40.6324,2.1265 40.6925,1.923 41.3992,1.8673 40.6324))"
Chlidonias leucopterus,"POLYGON((28.4103 -25.4674,28.0125 -26.1375,28.1003 -26.2612,28.2357 -26.3283,28.4279 -26.3667,28.683 -26.1868,28.4103 -25.4674))"
Chlidonias leucopterus,"POLYGON((5.5931 52.919,4.7059 52.0279,5.5134 52.4573,5.5931 52.919))"
Egretta garzetta,"POLYGON((-14.6764 28.3635,-14.7354 28.3581,-14.7045 28.2765,-14.6764 28.3635))"
Egretta garzetta,"POLYGON((25.5332 39.7071,26.3818 38.8844,28.1021 43.3459,27.4676 42.4788,25.5332 39.7071))"
Eremophila alpestris,"POLYGON((16.5463 56.2811,11.8617 57.6229,12.1232 57.1976,12.3543 56.9103,16.2876 56.1738,16.3993 56.1965,16.5463 56.2811))"
Eremophila alpestris,"POLYGON((44.4311 42.1534,43.0481 42.6466,43.5137 41.8291,44.4311 42.1534))"
Haliaeetus albicilla,"POLYGON((19.6132 46.6837,18.8043 45.8263,18.8056 45.6141,19.6132 46.6837))"
Haliaeetus albicilla,"POLYGON((28.3205 44.0073,29.0521 45.2166,28.9776 45.1778,28.3205 44.0073))"
Hirundo rustica,"POLYGON((36.7079 -0.6379,36.5174 -0.8127,36.8253 -1.2212,39.3912 -3.2913,39.8905 -3.3905,37.9142 -1.3211,36.7079 -0.6379))"
Hirundo rustica,"POLYGON((24.4443 46.6612,28.309 44.114,28.8348 44.6483,29.1049 45.1224,24.4578 46.6685,24.4443 46.6612))"
Hydroprogne caspia,"POLYGON((-16.5219 13.3914,-16.4797 13.5991,-16.5172 13.653,-16.5219 13.3914))"
Hydroprogne caspia,"POLYGON((14.9388 57.3893,17.085 58.9582,17.1488 59.153,16.2363 58.5717,14.9388 57.3893))"
Numenius phaeopus,"POLYGON((-16.8774 13.8883,-16.4348 13.4225,-16.503 13.5496,-16.8774 13.8883))"
Numenius phaeopus,"POLYGON((4.4081 52.1106,5.0199 52.19,4.7081 52.3368,4.5709 52.2676,4.4081 52.1106))"
Nycticorax nycticorax,"POLYGON((28.1852 -26.2477,31.8102 -28.2534,31.1465 -23.5875,28.2108 -26.1519,28.1852 -26.2477))"
Nycticorax nycticorax,"POLYGON((2.6526 42.2195,1.4052 46.7625,1.2576 46.795,1.201 46.7616,2.0456 41.5733,2.4294 40.4279,2.5595 41.075,2.6526 42.2195))"
Pandion haliaetus,"POLYGON((-16.8872 14.0865,-16.6295 13.4931,-16.3224 13.5744,-16.6794 14.0765,-16.8872 14.0865))"
Pandion haliaetus,"POLYGON((41.734 41.7311,41.7418 41.6851,41.7388 41.7217,41.734 41.7311))"
Passer domesticus,"POLYGON((-8.6008 42.8422,-7.8484 32.1344,1.6588 41.1606,0.8016 41.4201,-5.668 42.8043,-8.6008 42.8422))"
Passer domesticus,"POLYGON((21.5527 47.4346,21.5261 47.2407,24.854 46.5452,24.8699 46.5654,24.7799 46.5966,21.6127 47.5255,21.5527 47.4346))"
Phalaropus lobatus,"POLYGON((21.1152 68.1799,14.6334 65.2457,13.8158 64.0753,12.7779 56.5775,16.7693 56.5916,20.4467 63.6813,21.1152 68.1799))"
Phalaropus lobatus,"POLYGON((5.7877 53.2167,4.6244 52.4178,4.8491 51.9811,5.7877 53.2167))"
Pinicola enucleator,"POLYGON((15.1813 59.0616,13.8702 60.9655,14.9134 58.4689,15.1748 58.5948,15.1813 59.0616))"
Pinicola enucleator,"POLYGON((20.5542 66.5792,20.5578 66.2372,21.3909 67.7621,20.8242 67.4304,20.5542 66.5792))"
Plegadis falcinellus,"POLYGON((18.5063 -33.6268,18.4497 -33.6323,18.5423 -33.9328,18.8217 -34.0749,18.6769 -33.6714,18.5063 -33.6268))"
Plegadis falcinellus,"POLYGON((26.3966 40.1215,28.9639 44.8548,27.9075 43.2118,26.3966 40.1215))"
Pluvialis squatarola,"POLYGON((25.1294 -33.9114,24.6117 -34.0284,24.9928 -33.9457,25.1294 -33.9114))"
Pluvialis squatarola,"POLYGON((16.4467 56.2531,15.2118 57.4515,14.6488 57.2527,14.4175 56.5564,15.3335 56.4093,16.4467 56.2531))"
Podiceps nigricollis,"POLYGON((-5.317 37.2807,-6.463 37.1243,-5.5187 37.0922,-5.317 37.2807))"
Podiceps nigricollis,"POLYGON((12.831 55.4471,12.9181 55.4368,17.0624 59.6642,12.9532 58.2949,12.831 55.4471))"
Riparia riparia,"POLYGON((28.4662 -26.3121,31.5488 -28.814,28.6214 -26.0092,28.4662 -26.3121))"
Riparia riparia,"POLYGON((15.3983 59.152,13.6592 57.0658,13.9455 56.7158,15.2648 58.4592,15.3983 59.152))"
Sterna hirundo,"POLYGON((25.2831 -33.9913,26.1528 -33.677,18.4367 -33.3662,18.3719 -33.3973,18.48 -33.6114,18.5346 -33.6747,25.2831 -33.9913))"
Sterna hirundo,"POLYGON((2.0364 47.1355,0.342 39.8893,2.9866 41.5564,4.3693 43.5122,2.0364 47.1355))"
Tringa glareola,"POLYGON((26.0633 -33.6389,26.2733 -33.6085,26.5557 -33.4398,26.1273 -33.6031,26.0633 -33.6389))"
Tringa glareola,"POLYGON((5.0885 52.1465,5.1369 52.1023,5.2266 52.1135,5.5739 52.3717,5.1871 52.239,5.0885 52.1465))"
Tringa nebularia,"POLYGON((-16.2603 13.4932,-16.4665 13.567,-16.4226 13.3534,-16.2603 13.4932))"
Tringa nebularia,"POLYGON((5.396 52.4099,4.7326 52.059,4.8198 51.8409,4.999 52.0165,5.396 52.4099))"
